,beta2,Number of iterations,Cost at MAP,Cost at truth,Relative data misfit,Relative reconstruction error for f,Relative reconstruction error for theta_v
0,0.01,10.0,0.5031985492306825,0.5289015442496944,1.0041193766346588,0.7472344523719829,0.020436745728074527
1,0.1,10.0,0.5060784223800722,0.5296009239672375,1.0059211345732528,0.7187790360864963,0.011115727737973518
2,1.0,10.0,0.5053951831140249,0.5361599681425906,0.9990301798614177,0.7330994108356945,0.01461496600379777
3,10.0,5.0,0.5197760633685614,0.5517486492957502,1.0011608305435347,0.7180938498591054,0.043977474497142885
4,100.0,3.0,0.5111892027244362,0.588335639046266,1.0040170761634033,0.7245780272487683,0.03637531082384739
