beta1,theta_noise,rdm,costmap,costtruth,errof,ssimf,errortheta,errorvartheta,uqerrorf,uqtightnessf,uqsizef,uqerrortheta,uqtightnesstheta,rdmstd,costmapstd,costtruthstd,errofstd,ssimfstd,errorthetastd,errorvarthetastd,uqerrorfstd,uqtightnessfstd,uqsizefstd,uqerrorthetastd,uqtightnessthetastd
10000.0,0.05,0.9939255293444479,0.4830106127596393,0.4884046000398077,0.37019368339767433,0.7117739470503327,0.03232980703652846,0.01897292763580142,-1.0,-1.0,-1.0,-1.0,-1.0,0.011573373483987235,0.012047189849746768,0.011704025024345284,0.0565223952850204,0.0773139985243973,0.009401251969879454,0.008887164455090444,0.0,0.0,0.0,0.0,0.0
50000.0,0.05,0.9947705517101003,0.48515429316024,0.4907352984849598,0.2848935915790662,0.810091011659478,0.03262902518027788,0.01928309601998502,-1.0,-1.0,-1.0,-1.0,-1.0,0.01152013382452866,0.011922834958778848,0.011630249960232614,0.035973551739535994,0.06928812509467447,0.010040786384923924,0.009460578167392373,0.0,0.0,0.0,0.0,0.0
100000.0,0.05,0.9953283210245528,0.4870532678898942,0.4936486715414,0.2915092559584389,0.8142533579186362,0.032983966348157964,0.01963335625366902,-1.0,-1.0,-1.0,-1.0,-1.0,0.011505709223707637,0.011844236670015612,0.011751728560871139,0.049520298894025414,0.06559143848030333,0.010787444508435285,0.010140783630139979,0.0,0.0,0.0,0.0,0.0
200000.0,0.05,0.9961572440494108,0.49017895582363796,0.4994754176542804,0.3121625570096489,0.8066059705686104,0.03364432712577394,0.020259798471046062,-1.0,-1.0,-1.0,-1.0,-1.0,0.01148038918908324,0.011836803562142386,0.012665892894071622,0.06517127656256694,0.06394232864114982,0.012167840315760884,0.01139146131962325,0.0,0.0,0.0,0.0,0.0
300000.0,0.05,0.9976779766364932,0.49310671270798273,0.5044233750865702,0.33415182453904585,0.8011533424062656,0.02395800756854358,0.0101513355184281,-1.0,-1.0,-1.0,-1.0,-1.0,0.007485666710590765,0.009821342778786473,0.014559468738992469,0.08289045482139601,0.04890433657952465,0.00643167845845201,0.002806108425728626,0.0,0.0,0.0,0.0,0.0
500000.0,0.05,0.9988945995277294,0.4979115416665366,0.5160768673123309,0.3593551234504006,0.780980952655409,0.02464930841311084,0.01134382424953552,-1.0,-1.0,-1.0,-1.0,-1.0,0.007937389310350061,0.012084122345725534,0.020781938391828826,0.08432757820525788,0.05134402540927224,0.007495533259203808,0.002352520118262221,0.0,0.0,0.0,0.0,0.0
1000000.0,0.05,1.0385039872930109,0.5523254537507011,0.5452105978767328,0.3945347252437968,0.744360162482756,0.04016983396966588,0.01748152819166562,-1.0,-1.0,-1.0,-1.0,-1.0,0.08154075891503658,0.10723442050610182,0.037012885325420075,0.0853639053813105,0.06440629349867713,0.03139780432091522,0.009043098827345044,0.0,0.0,0.0,0.0,0.0
3000000.0,0.05,1.0095739708551734,0.5388759967255841,0.6617455201343402,0.45435267088757225,0.6913429755092748,0.0424847910671877,0.02923458478007322,-1.0,-1.0,-1.0,-1.0,-1.0,0.013139081116436174,0.0339558159357925,0.1032917166987411,0.082490863992482,0.08396853131422279,0.01435127882304,0.0129356560442704,0.0,0.0,0.0,0.0,0.0
5000000.0,0.05,1.0158569678969225,0.5631378313756935,0.7782804423919477,0.4840234730086408,0.6651776663488794,0.05571183081996815,0.04080310669125184,-1.0,-1.0,-1.0,-1.0,-1.0,0.01649401002722981,0.046809420408411455,0.16983388855910883,0.07912626142124693,0.09341080914204478,0.019252465619170784,0.01819452753676464,0.0,0.0,0.0,0.0,0.0
