,name,beta2,trial,errrof,ssimf,errortheta
0,2000.0,0.1,1.0,0.486814613432296,0.6614175973086737,0.04413937684754126
1,2000.0,0.1,2.0,0.295700060361672,0.6490350382513698,0.01728108212973472
2,2000.0,0.1,3.0,0.3439540055471815,0.7947990585879009,0.05635560514040773
3,2000.0,0.1,4.0,0.5279044214557668,0.6577182279445495,0.03509883079716978
4,2000.0,0.1,5.0,0.47143474815064196,0.73402398257204,0.040558695528514696
5,2000.0,1.0,1.0,0.485580365574063,0.6646643944182389,0.0119396494393213
6,2000.0,1.0,2.0,0.295424944686059,0.6485119371210503,0.01586930352990726
7,2000.0,1.0,3.0,0.3433045706341448,0.796697274426696,0.03553316390116242
8,2000.0,1.0,4.0,0.5272020923831866,0.6583513057505802,0.020771034174898523
9,2000.0,1.0,5.0,0.46083552947749334,0.7493695173379671,0.0302644558977918
10,2000.0,10.0,1.0,0.48239731513407585,0.6753468559935015,0.021202224605761075
11,2000.0,10.0,2.0,0.2943767425096803,0.645287399717132,0.018485952961984336
12,2000.0,10.0,3.0,0.34041339237592183,0.8091253227840611,0.019559351093919212
13,2000.0,10.0,4.0,0.5225703428215946,0.6625657493738204,0.012251720102497813
14,2000.0,10.0,5.0,0.4379730322682758,0.7821082800131648,0.015290549613128675
15,2000.0,100.0,1.0,0.48938807073889723,0.6746462606354686,0.03704141769033205
16,2000.0,100.0,2.0,0.2940236024279998,0.6393448337432162,0.025809133078528612
17,2000.0,100.0,3.0,0.3389199133501752,0.8216592295789744,0.02704013789846169
18,2000.0,100.0,4.0,0.5167611005646497,0.664734821611739,0.010438157010435599
19,2000.0,100.0,5.0,0.43097569183302964,0.7878850934740366,0.030169826575539346
20,2000.0,1000.0,1.0,0.5090591727023098,0.6444436151447952,0.044780588781742334
21,2000.0,1000.0,2.0,0.29795074448997155,0.6461710875696333,0.02986821367044723
22,2000.0,1000.0,3.0,0.33965761514471376,0.8024989700338988,0.03853084022800992
23,2000.0,1000.0,4.0,0.523070754211329,0.6541591174882905,0.024628641518615494
24,2000.0,1000.0,5.0,0.43690001292716685,0.7832619127514115,0.03908492290152456
25,100.0,0.1,1.0,0.6219357558108168,0.4208390533617032,0.07188129061994881
26,100.0,0.1,2.0,0.4348442241061172,0.5574402728117896,0.060235891569764444
27,100.0,0.1,3.0,0.5985867668498543,0.6186624626279993,0.04166399071878011
28,100.0,0.1,4.0,0.6529121098801234,0.49034060281013603,0.11766503111738773
29,100.0,0.1,5.0,0.659434577258352,0.5247532367862985,0.07064513885922614
30,100.0,1.0,1.0,0.6212424732357452,0.41753519180767995,0.03825796381454633
31,100.0,1.0,2.0,0.4273508103385643,0.5731217104882613,0.046574577749127294
32,100.0,1.0,3.0,0.5993507360348724,0.6191026330470507,0.032577639714182455
33,100.0,1.0,4.0,0.6505420779571635,0.4989611116967262,0.07009802758721623
34,100.0,1.0,5.0,0.6562426347800588,0.5288005995964892,0.05454050976090279
35,100.0,10.0,1.0,0.6299043136752889,0.3813862628892735,0.042384717366386056
36,100.0,10.0,2.0,0.42736492482163724,0.574170435146152,0.04758290722075876
37,100.0,10.0,3.0,0.6036439315535745,0.6082355683804006,0.04281518773059331
38,100.0,10.0,4.0,0.6529942110247959,0.5122400093382189,0.04827711809033117
39,100.0,10.0,5.0,0.6549645752316823,0.5317057003049931,0.05079624702363432
40,100.0,100.0,1.0,0.6382843213639483,0.33931548729779826,0.04763083991599173
41,100.0,100.0,2.0,0.43135045789466314,0.5686174274010084,0.04948635493550064
42,100.0,100.0,3.0,0.6088475789634823,0.5977765763248746,0.04860415488638308
43,100.0,100.0,4.0,0.6517753757370628,0.5085102373111267,0.049811588274799486
44,100.0,100.0,5.0,0.6552325040366731,0.5326917861709624,0.05102010824686129
45,100.0,1000.0,1.0,0.6403789968428338,0.3285393922129407,0.04861130962252326
46,100.0,1000.0,2.0,0.4325756067095542,0.5665762607997017,0.04995969643756892
47,100.0,1000.0,3.0,0.6104988381884692,0.595064126374154,0.05031459931364736
48,100.0,1000.0,4.0,0.6518573185214656,0.5058724406054048,0.05067318882990173
49,100.0,1000.0,5.0,0.6554146999296926,0.5328128788114994,0.05113800066730809
