,q,niter,MAP-cost,truth-cost,rdm,erel f,erel theta
0,0.01,7.0,0.562247886662956,0.5309379692471279,1.0588644519295445,0.705368800473054,0.05450993301433094
1,0.03,11.0,0.6007068973132249,0.5378863785777149,1.087230161068056,0.6880343831195105,0.045323848115527476
2,0.05,19.0,0.5524228689486028,0.548866613056,1.0313163801123033,0.7069758487533566,0.06875009629912233
3,0.1,11.0,0.5138474388411368,0.5417713988287007,1.0001507278828208,0.7040966135996302,0.0249146208684242
