,name,mapcost,truthcost,rdm,errorf,erortheta,mapcoststderr,truthcoststderr,rdmstderr,errorfstderr,erorthetastderr
0,2000_0.001,0.5201772884511603,0.579540181055303,1.0048505190572277,0.4295821437586129,0.0009920512776309947,0.01101651878219025,0.018316689353195463,0.009472233904574434,0.06501812913648583,1.0366569956390095e-05
1,2000_0.005,0.5148207707247836,0.5647724043219445,0.9970713313444357,0.4195401231840091,0.004306063786892302,0.009111297191841334,0.018932774705033333,0.0038321766496481877,0.06479789068702084,0.0005381534821258714
2,2000_0.01,0.5263583143775985,0.579002633192135,1.0083445325976208,0.42463868811972205,0.008419009415892567,0.007417210859259715,0.024971827341337877,0.0026082089420835946,0.06122219742929989,0.0008904885056247208
3,2000_0.02,0.5241125664941497,0.5786576498200035,1.0036906361566076,0.4176341457121806,0.01746662901255109,0.010389736420992213,0.03567072079363413,0.009455315207106683,0.061871296254139056,0.002017580798544056
4,2000_0.05,0.5325761193701887,0.5856317323462941,1.0093037358881394,0.4262713736417523,0.03519788746919903,0.012735795625223522,0.040195669779113534,0.007778140433066223,0.05964923307779138,0.005844611043118721
5,2000_0.1,0.5298592442219346,0.5690411368006761,1.0080399237665543,0.4261323185055311,0.04706277793376669,0.009054270617089015,0.024144203633150823,0.004552068402813104,0.0654529946556067,0.02060854898039981
6,2000_0.2,0.5391322456641657,0.584191749977429,1.0065410582201975,0.42753316895191273,0.09587571322324935,0.013927130127613593,0.028457702615453814,0.006350536618000843,0.06262597564245338,0.033707372009621074
7,2000_0.5,0.9194287145060087,0.581007466435152,1.2399200136586326,0.43520215998857364,0.3760079372527801,0.7496062053628182,0.020852394300410682,0.4619586052305356,0.06780972426291042,0.34910236384019994
8,100_0.001,0.5061997247846335,0.582104321189606,1.0029160193592364,0.7088597199241978,0.0010001268999053903,0.010058847943840555,0.022048984767401095,0.009976196410030863,0.062390493470255576,6.889299962121813e-07
9,100_0.005,0.5035642663019514,0.5854260824293066,1.0003686009209327,0.7069280525505356,0.004993690840079321,0.003460197641718081,0.030907246882827782,0.0038238175111813756,0.0659408530985906,6.5767785201395236e-06
10,100_0.01,0.5030393251145758,0.5874086704838982,0.9997764353655498,0.7096345229506942,0.01001001337356373,0.003177821628170553,0.0250708835132751,0.003329972188019561,0.05931247109675926,6.332348504932792e-05
11,100_0.02,0.5027883082624334,0.5935023993159052,0.9994036054140402,0.7027405324849675,0.01962489248428447,0.00762101606403497,0.03185902374014219,0.007220254721106883,0.056601053271771694,0.0002302747229884195
12,100_0.05,0.4993335976350212,0.5702309117184858,0.9956469092237572,0.7225192926709185,0.04652516490415637,0.007307053191691662,0.02531910345951769,0.00714395241511888,0.06101439737855687,0.0029685006459456613
13,100_0.1,0.5070565188062822,0.5753418198933332,1.0017685889830557,0.7218237553580218,0.0874157146401264,0.009890307989262465,0.03485720916767562,0.008406195406357612,0.04916758279818204,0.005343143335881478
14,100_0.2,0.5110120626122426,0.5869211049824047,1.0021520175517649,0.7198784742790769,0.17454888041032635,0.00901264637049836,0.02976609035072324,0.006603157836870316,0.056490816567423385,0.037823873359918006
15,100_0.5,0.5205815141601037,0.5733158146782089,1.0052027561389436,0.754500019483824,0.36593747937330096,0.014908489442091779,0.02544427592433329,0.006056582348673033,0.08584345939815438,0.09257024781729575
