,name,trial,mapcost,truthcost,rdm,errorf,erortheta
0,2000_0.001,1,0.5050317170474355,0.5587135107810773,0.9956602492857562,0.41748544666728465,0.000985103819556561
1,2000_0.001,2,0.5254419348329787,0.5819554528963342,1.0165374420887767,0.36389216231091925,0.0009978436385094094
2,2000_0.001,3,0.5367929313045061,0.6084952360208049,1.0094678967405393,0.38590377133459186,0.0009976796772094066
3,2000_0.001,4,0.5117623659570228,0.5873821290747786,0.9917817752332571,0.5511036580398638,0.0009754301531066272
4,2000_0.001,5,0.5218574931138581,0.5611545765035203,1.010805231937809,0.4295256804404049,0.0010041990997729693
5,2000_0.005,1,0.5029201018161843,0.5506233661179089,0.9932221586064875,0.4163746781572504,0.004677118444971546
6,2000_0.005,2,0.5060487042259006,0.5460868182939547,0.9971628016532763,0.32351855383719397,0.004998666071892228
7,2000_0.005,3,0.5271129180252866,0.5790251586438324,0.9940498756709104,0.4008210687141629,0.003435923988854753
8,2000_0.005,4,0.5212792796810842,0.5948854361023855,0.9968211504373721,0.5257284612995302,0.004374832638549819
9,2000_0.005,5,0.5167428498754623,0.5532412424516413,1.0041006703541324,0.4312578539119079,0.004043777790193165
10,2000_0.01,1,0.5170317184640925,0.5554146133585879,1.0043839413432474,0.43631800411825444,0.0071722854816939465
11,2000_0.01,2,0.5204420194183286,0.5437595874726452,1.0073543847552462,0.33563950788983116,0.008538083231401945
12,2000_0.01,3,0.5364197645001231,0.5881044814251509,1.0088133647437185,0.3897558406823071,0.009188295118006819
13,2000_0.01,4,0.5333325666952596,0.6041435421292841,1.0087035263157402,0.5205645934702036,0.007665363469428584
14,2000_0.01,5,0.5245655028101884,0.6035909415750069,1.0124674458301521,0.4409154944380141,0.009531019778931548
15,2000_0.02,1,0.5225601705767061,0.571413896971269,1.0107896848822617,0.40362674902652546,0.01812616305975805
16,2000_0.02,2,0.5100559999132332,0.5298025626080575,1.0011960443808474,0.34958917044177473,0.01888287495728326
17,2000_0.02,3,0.5223086856106626,0.592691307106948,0.9892630188526585,0.3790471904578698,0.018013139242152237
18,2000_0.02,4,0.5424335233739955,0.6373799398666199,1.0167873267987375,0.5306229840246561,0.018817771191295473
19,2000_0.02,5,0.5232044529961511,0.5620005425471227,1.0004171058685318,0.42528463461007676,0.013493196612266415
20,2000_0.05,1,0.5273366060551401,0.5691150509996943,1.0164762758686336,0.44196449592381293,0.03964079458366741
21,2000_0.05,2,0.5156786709338042,0.5313417856845678,0.9975989291127282,0.3371138757867431,0.026374756316865103
22,2000_0.05,3,0.5460477718864433,0.6472903886679165,1.0113784822670617,0.3888117304540119,0.0423809862855811
23,2000_0.05,4,0.5487197217484175,0.6127293466866397,1.0178374682290967,0.51366712447494,0.03082278549312909
24,2000_0.05,5,0.5250978262271377,0.5676820896926521,1.0032275239631778,0.4497996415692535,0.036770114666752444
25,2000_0.1,1,0.5245702940916629,0.5764995174439015,1.0123551399190824,0.4309038200388772,0.08510964114258042
26,2000_0.1,2,0.5197761991092184,0.5343762428172204,1.0002249613828638,0.3342050576698526,0.04563672812256097
27,2000_0.1,3,0.5445272888208726,0.5876612918444142,1.0059807356008428,0.3996289485961352,0.04472612374000742
28,2000_0.1,4,0.5359059093599534,0.5985717641206479,1.0093666737692277,0.5367459727298054,0.0362768881620327
29,2000_0.1,5,0.5245165297279655,0.5480968677771964,1.0122721081607542,0.4291777934929852,0.02356450850165194
30,2000_0.2,1,0.5162597872727025,0.5726396890427656,1.0029348378960565,0.415857951852687,0.1490861114079591
31,2000_0.2,2,0.5317709406424339,0.5512622412183886,1.008733999863556,0.3598663986914108,0.08889250369139604
32,2000_0.2,3,0.5441152209000251,0.5808732757589544,0.996070298699145,0.3853636035629578,0.052660283219980425
33,2000_0.2,4,0.5567000789014573,0.637056985221671,1.0138211303220044,0.5418340695825901,0.11591878066140297
34,2000_0.2,5,0.5468152006042096,0.5791265586453649,1.0111450243202253,0.4347438210699183,0.07282088713550819
35,2000_0.5,1,0.5337274401475705,0.5795290355782995,1.0170030724166241,0.41012593783020995,0.31267911059683146
36,2000_0.5,2,0.5678642932742008,0.595233983945883,1.012070370832835,0.3654840949760808,0.13228887208183035
37,2000_0.5,3,0.5343828080245954,0.5746237545065819,0.9982921705824412,0.4015895777555782,0.1108420576032602
38,2000_0.5,4,0.5427326391498312,0.6087164410060374,1.0084787994990236,0.5631527525754559,0.2671936059636443
39,2000_0.5,5,2.4184363919338456,0.5469341171389582,2.163755654962239,0.4356584368055434,1.0570360400183343
40,100_0.001,1,0.4936936621895388,0.5455140604955864,0.9913582635292981,0.6771643196203093,0.0009989907587611645
41,100_0.001,2,0.5223103639367654,0.5710264652345953,1.0191962486645958,0.6368972509203291,0.0010003027022575546
42,100_0.001,3,0.49746390112991706,0.5897763648030606,0.9935447214007282,0.7959097344991628,0.0009998004508284418
43,100_0.001,4,0.5092492651387565,0.6095360443368147,1.0056693127227665,0.7699085881609711,0.0010005285098226217
44,100_0.001,5,0.5082814315281894,0.5946686710779722,1.0048115504787938,0.664418706420217,0.0010010120778571696
45,100_0.005,1,0.509030403349584,0.6020330197158481,1.0067596739518423,0.6823652553347105,0.0049980726602037685
46,100_0.005,2,0.5010345230623615,0.5407333636507742,0.9979865612889648,0.6202289112083152,0.005001170773537701
47,100_0.005,3,0.5022207706196933,0.5951269080391889,0.9986201175842776,0.7904458192861831,0.004997662105953859
48,100_0.005,4,0.49956524478482855,0.6280845935429474,0.9959998279950248,0.776750212298773,0.004985834000925708
49,100_0.005,5,0.5059703896932899,0.561152527197774,1.0024768237845538,0.6648500646246962,0.004985714659775565
50,100_0.01,1,0.5054719244374553,0.5830782910840835,1.0034571373700045,0.6869238912368679,0.010089912961288664
51,100_0.01,2,0.49856311907371603,0.5765299917791787,0.9956457332234364,0.6342813219926948,0.01003931017411001
52,100_0.01,3,0.5005869493720497,0.6045904261671479,0.9965482899284813,0.7955342205478162,0.010004865094122814
53,100_0.01,4,0.5073388664406491,0.6232223873761856,1.0035710139743255,0.7601194468839299,0.01001868348236185
54,100_0.01,5,0.5032357662490091,0.5496222560128956,0.9996600023315008,0.6713137340921617,0.009897295155935317
55,100_0.02,1,0.49552110454631537,0.5786805910135473,0.9928803609241086,0.6660245288316748,0.019847965679983263
56,100_0.02,2,0.4958949265023863,0.5770009326348873,0.9929198386395116,0.6367009001906604,0.019602237194537842
57,100_0.02,3,0.5096858841377203,0.624034628449017,1.0058376145059091,0.7718904929778336,0.01965642086495428
58,100_0.02,4,0.514039401638167,0.6366207069805216,1.0102090754839044,0.769356573542297,0.019814667397972777
59,100_0.02,5,0.4988002244875774,0.5511751375015524,0.9951711375167674,0.6697301668823717,0.01920317128397421
60,100_0.05,1,0.4997654901939055,0.5672710145524968,0.9974601378895417,0.6763136574070336,0.04802357205890604
61,100_0.05,2,0.5042083931986737,0.5408852468688284,1.0007406512290762,0.6560435982054549,0.0454142506737138
62,100_0.05,3,0.4977027826016796,0.595882463940905,0.9928536087229921,0.8024395827199233,0.04761494817203277
63,100_0.05,4,0.508303051839451,0.602326092684182,1.0038292783536016,0.7895748020550056,0.04141035119737697
64,100_0.05,5,0.48668827034139633,0.5447897405460168,0.9833508699235746,0.6882248229671755,0.05016270241875226
65,100_0.1,1,0.4971696407104152,0.5606284515638338,0.9941439692205938,0.6839716135635737,0.09735023088378741
66,100_0.1,2,0.50320003147871,0.5242438132901868,1.0003315204616268,0.6619356080794752,0.08287098328521313
67,100_0.1,3,0.5175212226672752,0.6152815230695264,1.0090605991378894,0.784825482495162,0.08450609123316379
68,100_0.1,4,0.5201322666379473,0.6139465482178795,1.0135708755778796,0.7745149820767728,0.08374096774175281
69,100_0.1,5,0.4972594325370638,0.5626087633252392,0.991735980517289,0.7038710905751256,0.08861030005671484
70,100_0.2,1,0.4991089948112107,0.5467119642113735,0.9912364276339544,0.6898611733394548,0.19579066072992413
71,100_0.2,2,0.5044064695253841,0.5687840120540433,0.9985399493682814,0.6484319486361553,0.19579315227370803
72,100_0.2,3,0.5251827889010589,0.5993646635371004,1.0094859414847515,0.7988632300003982,0.09966988144443241
73,100_0.2,4,0.5154836119458993,0.6351311201743015,1.0075024497730318,0.7727062980273032,0.18302594077974807
74,100_0.2,5,0.5108784478776598,0.5846137649352052,1.0039953194988056,0.6895297213920728,0.19846476682381914
75,100_0.5,1,0.5229415048926856,0.5535254783549817,1.0090241387525696,0.8581592687706457,0.5084982343786086
76,100_0.5,2,0.5199009764469161,0.5468845346607156,1.0082106965551199,0.6091728497744197,0.2724295457294742
77,100_0.5,3,0.5469461655485117,0.611082328552395,1.0116760198205261,0.8132689083689978,0.43603285085889154
78,100_0.5,4,0.5036481168600555,0.5960465002723021,0.9947188573505171,0.7722199323449047,0.27663591795784515
79,100_0.5,5,0.5094708070523494,0.5590402315506501,1.0023840682159848,0.7196791381601522,0.3360908479416853
