,name,fixation,trial,uqerrorf,uqtightnessf,uqerrortheta,uqtightnesstheta
0,2000,fixed,1,0.13530419003202898,2.031695281646974,0.049355964161445984,0.0
1,2000,fixed,2,0.15773629410040285,1.8789529432388403,0.048612819720562535,0.0
2,2000,fixed,3,0.08726071022728726,1.9780540912925213,0.05072039613213866,0.0
3,2000,fixed,4,0.12985220854661061,2.1184172500947707,0.05047595616401992,0.0
4,2000,fixed,5,0.10765070655640192,2.1874787424735285,0.05100366911426929,0.0
5,2000,partially fixed,1,0.06462180527062153,4.323071974158852,0.025163457187139193,0.44888941983920133
6,2000,partially fixed,2,0.06995385181787621,2.4240564752157594,0.0328675726834238,7.563366261547674
7,2000,partially fixed,3,0.11153724978758507,2.7307170140420087,0.03543824633905195,0.18956726982272631
8,2000,partially fixed,4,0.12764364491928948,2.1283312646639976,0.03981350660665208,1.3867480639919612
9,2000,partially fixed,5,0.08258660308939678,2.9946627205071854,0.01725830411180828,1.54095855297429
10,2000,not fixed,1,0.06027770949851711,4.143466872132681,0.0,47.164011532800984
11,2000,not fixed,2,0.06777380596848076,2.4359811614709725,0.0,80.18230230280666
12,2000,not fixed,3,0.057346106516695715,2.1960476326494636,0.0,56.11480180270908
13,2000,not fixed,4,0.1433893399647975,2.4689599821813992,0.0,21.46738389736583
14,2000,not fixed,5,0.09825776317306019,3.0443312811062078,0.0069410510077081225,27.659744494318566
15,100,fixed,1,0.08150029594815801,3.6072470399753205,0.048260950035066974,0.0
16,100,fixed,2,0.10155824826067746,2.5902235417906514,0.04800968973911913,0.0
17,100,fixed,3,0.19734955534397874,2.0983318497932517,0.050357765978245844,0.0
18,100,fixed,4,0.10771903553360741,2.214795276533596,0.05004286940340708,0.0
19,100,fixed,5,0.15479286675501386,2.208390728489168,0.050505111517755205,0.0
20,100,partially fixed,1,0.07498847569691017,3.386741317094009,0.027733779655799037,9.19759679146083
21,100,partially fixed,2,0.11573976692071476,2.719057255181288,0.02358826289579929,2.03859780802389
22,100,partially fixed,3,0.18692119392016734,2.3024887812849384,0.04248076369865188,29.8291691424308
23,100,partially fixed,4,0.10018612486709338,2.5468559631770313,0.027247928728279476,1.6675956277772614
24,100,partially fixed,5,0.13892026425702028,2.4085900692759736,0.04573552757239808,6.774105210327081
25,100,not fixed,1,0.07464131640189689,3.40620669249172,0.005036011745820958,113.82635661419454
26,100,not fixed,2,0.11765556077687479,2.7317596577465526,0.0,31.02969874430663
27,100,not fixed,3,0.16735050451109354,2.4580326410206266,0.0025932218148737502,30.18198381150975
28,100,not fixed,4,0.09279638135949206,2.6643886732086974,0.0,31.285553746885153
29,100,not fixed,5,0.12158663729924143,2.501570655704661,0.025229462414067136,44.29555862651118
